original_transaction_ref_num,expense_date,expense_person,expense_category,expense_amount,expense_quantity,expense_description
,2025-07-01,Butt Fitness,General,1600000.0,13.0,Gym Strength
,2025-07-08,Barkat Trading Corporation,General,195000.0,1.0,BTC-386836/25
,,Barkat Trading Corporation,General,5625000.0,1.0,BTC-38742/25
,,Barkat Trading Corporation,General,487500.0,1.0,BTC-386741/25
,,Barkat Trading Corporation,General,2933000.0,1.0,BTC-62548/25
,2025-06-11,Barkat Trading Corporation,General,3300000.0,1.0,BTC-62765/25
,2025-06-10,Barkat Trading Corporation,General,421500.0,1.0,386645/25
,2025-05-30,Barkat Trading Corporation,General,19400.0,1.0,BTC-62549/25
,2025-06-21,Barkat Trading Corporation,General,105100.0,1.0,BTC-386740/25
,2025-06-21,Barkat Trading Corporation,General,368000.0,1.0,BTC-386718/25
,2025-06-20,Barkat Trading Corporation,General,1705000.0,1.0,BTC-62905/25
,2025-06-19,Barkat Trading Corporation,General,1051000.0,1.0,# 386735/25
,2025-06-19,Barkat Trading Corporation,General,325000.0,1.0,#386715/25
,2025-06-16,Barkat Trading Corporation,General,134000.0,1.0,BTC-62819/25
,2025-06-16,Barkat Trading Corporation,General,5115000.0,1.0,BTC-62815/25
,2025-06-16,Barkat Trading Corporation,General,1705000.0,1.0,BTC-62804/25
,2025-06-13,Barkat Trading Corporation,General,6820000.0,1.0,BTC-62791/25
,2025-06-13,Barkat Trading Corporation,General,1705000.0,1.0,BTC-62788/25
,2025-06-12,Barkat Trading Corporation,General,4023927.6,1.0,386622/25
,2025-05-17,Barkat Trading Corporation,General,2088000.0,1.0,386631/25
,2025-05-19,Divisonal Sports Officer Sargodha,General,1000000.0,1.0,Hami HM  580 4 STROKE HEAVY DUTY
,2025-06-22,Divisonal Sports Officer Sargodha,General,2000000.0,1.0,Hami HM  580 4 STROKE HEAVY DUTY
,2025-06-30,Divisonal Sports Officer Sargodha,General,7332500.0,1.0,Hami HM580 4stroke heavy duty
,2025-07-23,Divisonal Sports Officer Sargodha,General,140000.0,1.0,multi purpose
,2025-07-23,Divisonal Sports Officer Sargodha,General,35000.0,1.0,Tchno RAV Electric chain saw
,2025-07-23,Divisonal Sports Officer Sargodha,General,25000.0,1.0,LED for camera CCTV
,2025-07-21,Sammi Tensile Work,General,7332500.0,1.0,From Bill
,2025-08-02,Faisalabad Light House,General,1100000.0,1.0,887
,2025-08-02,Faisalabad Light House,General,440000.0,1.0,886
,2025-04-15,Mujahid Lights Lahore,General,14200.0,40.0,high light
,2025-04-28,Mujahid Lights Lahore,General,14400.0,50.0,hight light
,2025-05-13,Mujahid Lights Lahore,General,1248000.0,24.0,high light
,2025-05-20,Mujahid Lights Lahore,General,51000.0,124.0,project light
,2025-05-20,Mujahid Lights Lahore,General,2100.0,2.0,project light
,2025-05-22,Mujahid Lights Lahore,General,6000.0,50.0,lights
,2025-05-22,Mujahid Lights Lahore,General,6000.0,50.0,lights
,2025-05-22,Mujahid Lights Lahore,General,320.0,10.0,lights
,2025-06-13,Mujahid Lights Lahore,General,51000.0,38.0,lights
,2025-06-30,Mujahid Lights Lahore,General,13500.0,6.0,lights
,2025-06-30,Mujahid Lights Lahore,General,2400.0,44.0,lights
,2025-07-23,Mujahid Lights Lahore,General,14400.0,36.0,lights
,2025-06-13,Mujahid Lights Lahore,General,11500.0,38.0,lights
